#          x       x_err           y       y_err        freq           flux       flux_err       major   major_err       minor   minor_err          PA      PA_err             RA            Dec    velocity
#     arcsec      arcsec      arcsec      arcsec         GHz            mJy            mJy      arcsec      arcsec      arcsec      arcsec      degree      degree         degree         degree        km/s
       9.577       0.000       5.654       0.000     233.702   -4.15702E-01    5.36990E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     330.000
       9.577       0.000       5.654       0.000     233.695    7.38693E-01    5.45171E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     340.000
       9.577       0.000       5.654       0.000     233.687   -8.52490E+00    5.48845E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     350.000
       9.577       0.000       5.654       0.000     233.679   -6.04709E-01    5.24305E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     360.000
       9.577       0.000       5.654       0.000     233.671   -5.64289E+00    5.27544E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     370.000
       9.577       0.000       5.654       0.000     233.663   -8.50358E-01    5.47860E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     380.000
       9.577       0.000       5.654       0.000     233.656    3.36143E+00    5.32353E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     390.000
       9.577       0.000       5.654       0.000     233.648    1.85047E+00    5.19045E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     400.000
       9.577       0.000       5.654       0.000     233.640   -6.74031E+00    5.28643E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     410.000
       9.577       0.000       5.654       0.000     233.632    4.78303E+00    5.36515E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     420.000
       9.577       0.000       5.654       0.000     233.624    1.43353E+00    5.32308E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     430.000
       9.577       0.000       5.654       0.000     233.617    9.94204E+00    5.30665E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     440.000
       9.577       0.000       5.654       0.000     233.609    1.58043E+00    5.36621E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     450.000
       9.577       0.000       5.654       0.000     233.601    5.93420E+00    5.16040E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     460.000
       9.577       0.000       5.654       0.000     233.593   -5.51742E+00    5.37375E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     470.000
       9.577       0.000       5.654       0.000     233.585   -1.12481E+00    5.29315E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     480.000
       9.577       0.000       5.654       0.000     233.578    1.10106E+00    5.26945E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     490.000
       9.577       0.000       5.654       0.000     233.570   -9.95708E+00    5.32390E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     500.000
       9.577       0.000       5.654       0.000     233.562    7.16233E+00    5.38147E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     510.000
       9.577       0.000       5.654       0.000     233.554    2.23667E+00    5.10061E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     520.000
       9.577       0.000       5.654       0.000     233.546    9.39659E+00    5.34372E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     530.000
       9.577       0.000       5.654       0.000     233.539    2.27687E+00    5.42619E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     540.000
       9.577       0.000       5.654       0.000     233.531    5.65172E+00    5.31766E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     550.000
       9.577       0.000       5.654       0.000     233.523    7.60827E-01    5.33513E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     560.000
       9.577       0.000       5.654       0.000     233.515    6.48646E+00    5.46394E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     570.000
       9.577       0.000       5.654       0.000     233.507   -5.65264E+00    5.57019E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     580.000
       9.577       0.000       5.654       0.000     233.500   -4.96855E+00    5.46653E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     590.000
       9.577       0.000       5.654       0.000     233.492    2.58128E+00    5.52251E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     600.000
       9.577       0.000       5.654       0.000     233.484   -1.16682E+00    5.38411E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     610.000
       9.577       0.000       5.654       0.000     233.476   -2.29649E+00    5.47906E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     620.000
       9.577       0.000       5.654       0.000     233.468   -5.23616E+00    5.48917E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     630.000
       9.577       0.000       5.654       0.000     233.461    6.95316E+00    5.37102E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     640.000
       9.577       0.000       5.654       0.000     233.453    1.94516E+00    5.32124E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     650.000
       9.577       0.000       5.654       0.000     233.445    1.14261E+00    5.44869E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     660.000
       9.577       0.000       5.654       0.000     233.437    2.88136E+00    5.52034E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     670.000
       9.577       0.000       5.654       0.000     233.429    7.46073E+00    5.43355E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     680.000
       9.577       0.000       5.654       0.000     233.422    1.70019E+00    5.43802E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     690.000
       9.577       0.000       5.654       0.000     233.414    6.25763E+00    5.29252E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306     700.000
