#        x     x_err         y     y_err           freq               flux           flux_err         major     major_err         minor     minor_err            PA        PA_err
#   arcsec    arcsec    arcsec    arcsec            GHz                mJy                mJy        arcsec        arcsec        arcsec        arcsec        degree        degree
    -9.427     0.000     5.900     0.000        233.835     -0.2419377E+01      0.4815290E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.827     -0.3374155E+00      0.4776649E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.820      0.4303078E+00      0.4722925E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.812     -0.4572146E+01      0.4878168E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.804     -0.2190328E+01      0.4752822E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.796      0.1071263E+01      0.4788214E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.788      0.3599836E+01      0.4785293E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.781      0.4028181E+00      0.4703022E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.773     -0.2402469E+01      0.4778611E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.765     -0.9048632E+01      0.4849902E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.757      0.5270665E+01      0.4726811E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.749     -0.8394409E+01      0.4733143E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.741     -0.5847480E+01      0.4871809E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.734     -0.3191491E+00      0.4812921E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.726     -0.6323569E+00      0.4753201E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.718      0.7971511E+00      0.4699422E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.710     -0.1047247E+02      0.4768430E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.702     -0.5987818E+01      0.4674091E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.695      0.1545531E+01      0.4742212E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.687      0.7004562E+01      0.4785679E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.679      0.2314758E+01      0.4565412E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.671      0.7228937E+00      0.4595336E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.663     -0.1218494E+01      0.4767140E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.656     -0.2209193E+01      0.4633495E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.648     -0.8108082E+00      0.4520777E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.640     -0.1064259E+01      0.4604376E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.632      0.2216804E+01      0.4673913E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.624     -0.2104325E+01      0.4637470E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.617     -0.8773293E+01      0.4622041E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.609      0.1913348E+01      0.4672601E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.601      0.4365475E+01      0.4495450E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.593     -0.5354028E+00      0.4685674E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.585     -0.4045485E+00      0.4608545E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.578     -0.1118624E+02      0.4582550E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.570     -0.3829156E+01      0.4641460E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.562     -0.3083918E+01      0.4689754E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.554      0.1422468E+01      0.4444005E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.546     -0.9169728E+01      0.4655118E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.539      0.1935377E+01      0.4728566E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.531      0.2374295E+01      0.4633205E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.523      0.5307759E+01      0.4652791E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.515      0.9467987E+00      0.4759174E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.507     -0.4529737E+01      0.4863551E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.500     -0.2967358E+01      0.4757383E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.492     -0.2064749E+01      0.4813482E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.484     -0.7989230E+00      0.4692099E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.476      0.3625257E+01      0.4774187E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.468      0.8550629E+01      0.4780943E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.461      0.5261726E-01      0.4674305E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.453      0.4251517E+00      0.4632524E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.445     -0.6777472E+01      0.4748860E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.437     -0.1888595E+00      0.4812217E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.429      0.6037750E+01      0.4738392E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.422      0.5694636E+01      0.4735535E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.414      0.1820812E+01      0.4613284E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.406      0.1790257E+00      0.4611718E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.398     -0.4415826E+01      0.4788648E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.390     -0.4200725E+01      0.4637285E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.383     -0.1443297E+02      0.4730931E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.375      0.5701160E+00      0.4829300E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.367      0.1673796E+01      0.4825101E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.359     -0.5300178E+00      0.4715696E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.351     -0.7289068E+01      0.4688030E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.343     -0.8023760E+01      0.4798882E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.336     -0.5650134E+01      0.4797199E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.328     -0.7109637E+01      0.4883292E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.320     -0.1827333E+00      0.4833634E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.312      0.7452247E+01      0.4741845E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.304      0.5117814E+01      0.4838911E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.297     -0.8127505E+01      0.4863892E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.289     -0.1942511E+01      0.4793125E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.281      0.6817922E+01      0.4887144E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.273      0.2296385E+01      0.4936563E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.265      0.1999163E+01      0.4891562E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.258      0.8353560E+01      0.4818870E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.250     -0.1166850E+02      0.4985710E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.242     -0.3152404E+01      0.5001171E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.234     -0.7757728E+00      0.5000810E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.226      0.1709047E+01      0.5035811E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.219      0.5509583E+01      0.5053223E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.211      0.2758561E+01      0.5004601E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.203     -0.1074765E+02      0.5007412E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.195     -0.1177848E+01      0.4982298E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        233.187     -0.5295306E+01      0.5069900E+01         0.000         0.000         0.000         0.000         0.000         0.000
 
